# Unchecked-arithmetic manifest — the reviewed registry behind scripts/check-unchecked.sh.
#
# One row per `unchecked { ... }` block in the game facade, its storage base and the modules
# (scripts/lib/unchecked_extract.py). The rationale records the invariant that keeps every op
# in range; the gate keeps the registry in exact correspondence with source.
#
# Classes: BOUNDED (a guard / cap / width argument, named) · NO-OVERFLOW-OP (nothing in the block
# can leave the range) · WRAP-INTENDED (modular arithmetic on purpose) · SCALE-BOUNDED (no code
# guard: the only bound is the ETH that must be paid to reach the width — the owed lanes and the
# pass lanes, a documented design choice at DegenerusGame.sol ~:2406-2408; recorded, not hidden).
#
# Columns: CLASS  file  function  ordinal  head  rationale
CLASS	file	function	ordinal	head	rationale
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_placeDegeneretteBetCore	1	++nonce	uint64 per-player bet nonce read at :778; one increment per placed bet tx, so 2^64 is unreachable in practice and the packed bet mapping key stays unique.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_resolveBet	1	totalPayout += paid	uint256 accumulator; paid <= payout = betAmount(uint128) * basePayoutBps * effectiveRoi / 1e6 (:1465-1468), both bps factors well under 2^32, summed over spinCount <= MAX_SPINS_ETH 25 (:290) -> < 2^200.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_resolveBet	2	++spinIdx	uint8 loop counter under `spinIdx < spinCount` (:893); spinCount is clamped at placement to MAX_SPINS_ETH/FLIP/WWXRP = 25/15/5 (:290-292), so it cannot reach 255.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_distributePayout	1	pool -= ethShare	Unfrozen branch: the cap immediately above at :1195-1200 forces ethShare <= maxEth = pool * ETH_WIN_CAP_BPS / 10_000 <= pool, so the subtraction cannot underflow.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_distributePayout	2	acc.ethClaimable += ethShare	uint256 accumulator; ethShare <= payout (tier split :1151-1165) and payout is width-bounded as in _resolveBet (betAmount uint128 * bps factors / 1e6), summed over <= 25 spins per bet.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_distributePayout	3	acc.flipMint += payout	uint256 accumulator; payout = betAmount(uint128) * basePayoutBps * effectiveRoi / 1e6 (:1465-1468) < 2^192, summed over <= MAX_SPINS_FLIP 15 spins per bet across a calldata-bounded batch.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_distributePayout	4	acc.wwxrpMint += payout	uint256 accumulator; same width argument as the FLIP lane, with spinCount clamped to MAX_SPINS_WWXRP 5 (:292); payout < 2^192 so the sum stays far below 2^256.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_countGoldQuadrants	1	if (uint8((traits >> 3) & 7) == 7) ++count	Fixed unrolled 4 increments on a uint8 return local (:1311-1314); count <= 4. Shifts are 3/11/19/27 on a uint32 masked by &7, so they cannot leave the type.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_score	1	uint8 pQuad = uint8(playerTraits)	Fixed unrolled 4 quadrants, each adding at most +2 and +1 (:1341-1366), so the uint8 score s <= 9. All shifts are 8/16/24 on a uint32 narrowed by uint8()/&7.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_rigWwxrpResult	1	++q	uint8 loop counter under `q < 4` (:1656); the m and u counters in the same block increment at most twice per iteration, so both stay <= 8 in uint8.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_rigWwxrpResult	2	--pick	Reached only when the `if (pick == 0)` return at :1699 did not fire, so pick >= 1 at :1703; pick starts as (rigSeed >> 8) % u with u >= 1 enforced at :1687.
BOUNDED	modules/DegenerusGameDegeneretteModule.sol	_rigWwxrpResult	3	--pick	Reached only when the `if (pick == 0)` return at :1711 did not fire, so pick >= 1 at :1716; same `% u` origin with u >= 1 guarded at :1687.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_rigWwxrpResult	4	++q	uint8 loop counter under `q < 4` in the pass-2 walk (:1706); at most 4 increments, so q <= 4.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_packSpin	1	return (uint256(playerTraits) | (uint256(resultTraits) << 32) | (uint256(score) << 64)) <<	Payload is 72 bits wide (32|32<<32|8<<64); i in {0,1,2} (BOX_FLIP_SPINS = 3, sole caller loop :1971), so i*72 <= 144 and the shifted word is < 2^216.
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	_flipSpinChain	1	++i	Loop counter under `i < BOX_FLIP_SPINS` (:1949) with BOX_FLIP_SPINS = 3, so i <= 3.
NO-OVERFLOW-OP	modules/DegenerusGameFoilPackModule.sol	claimFoilMatchMany	1	++settled	Counter incremented at most once per loop iteration, and the loop runs n = players.length times (:565); a calldata array length cannot approach 2^256.
NO-OVERFLOW-OP	modules/DegenerusGameFoilPackModule.sol	claimFoilMatchMany	2	++i	Loop counter under `i < n` where n = players.length checked equal to the three parallel arrays at :557-561; calldata-bounded, so no overflow.
BOUNDED	modules/DegenerusGameFoilPackModule.sol	_processFoilDrain	1	--room	Guarded by `if (room == 0) { ... return; }` immediately above at :941-945, so room >= 1 at the decrement; room is the uint32 budget passed in by the keeper path.
BOUNDED	modules/DegenerusGameFoilPackModule.sol	_processFoilDrain	2	room -= (FOIL_PACK_ENTRIES * 2) + 3	Guard at :961 returns unless room >= (FOIL_PACK_ENTRIES*2)+3, the identical constant charged here, so the uint32 subtraction cannot underflow; ++cursor bounded by cursor < total (:955).
NO-OVERFLOW-OP	modules/DegenerusGameFoilPackModule.sol	_processFoilDrain	3	++dd	uint24 day cursor advanced once per fully drained bucket under `dd <= last` (:921) where last = foilLastResolveDay; days advance one per calendar day, so 2^24 is unreachable.
NO-OVERFLOW-OP	modules/DegenerusGameFoilPackModule.sol	_resolveFoilBuyer	1	++u	uint16 loop counter under `u < touchedLen` (:1065); touchedLen counts distinct traits over FOIL_PACK_ENTRIES=16 entries x 4 quadrants, so it is at most 64 and bounded by the 256-slot scratch array.
NO-OVERFLOW-OP	modules/DegenerusGameFoilPackModule.sol	_packGold	1	++inLine	uint8 counter incremented at most once per quadrant in a fixed `q < 4` loop (:1121), so inLine <= 4.
NO-OVERFLOW-OP	modules/DegenerusGameFoilPackModule.sol	_packGold	2	golds += inLine	Fixed `i < 4` loop (:1119) adding inLine <= 4 each pass, so the uint8 golds <= 16; ++allGoldTickets fires at most once per line, so it is <= 4.
BOUNDED	modules/DegenerusGameGameOverModule.sol	handleGameOverDrain	1	totalRefunded += refund	refund is clamped to budget at :160-162 before `budget -= refund`; totalRefunded sums those refunds so stays <= preRefundAvailable (:135), derived from the ETH+stETH balance.
NO-OVERFLOW-OP	modules/DegenerusGameGameOverModule.sol	handleGameOverDrain	2	++i	Loop counter bounded by `i < ownerCount`, the deityPassOwners array length.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	payDailyJackpot	1	++i	Loop counter of `for (uint8 i; i < 4; )` at :696 building the rotated bucketCounts; i is bounded by the literal 4.
BOUNDED	modules/DegenerusGameJackpotModule.sol	payDailyJackpotCoinAndTickets	1	jackpotCounter = counterCached + counterStep	uint8+uint8: counterCached=jackpotCounter :798 is < JACKPOT_LEVEL_CAP=5 (storage :327, cap :1504) and counterStep is 1, 2 or 5 (:473/:482/:488), so the sum is <= 10.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_distributeTicketsToBuckets	1	++traitIdx	Loop counter of `for (uint8 traitIdx; traitIdx < 4; )` at :1054; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_distributeTicketsToBucket	1	++i	Loop counter of `for (uint256 i; i < len; )` at :1102 where len = winners.length from _randTraitTicket (<= numWinners, a uint8); array-length bounded.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_computeBucketCounts	1	++activeCount	uint8 incremented at most once per iteration of the 4-iteration loop at :1149, so activeCount <= 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_computeBucketCounts	2	++i	Loop counter of `for (uint8 i; i < 4; )` at :1149; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_computeBucketCounts	3	--activeCount	Guard at :1177 requires the excluded bit set in activeMask, which is only set at :1161 alongside ++activeCount, so activeCount >= 1 here; no underflow.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_computeBucketCounts	4	++i	Loop counter of `for (uint8 i; i < 4; )` at :1191; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_computeBucketCounts	5	--remainder	Decrement sits inside `while (remainder != 0)` at :1201, so remainder >= 1 at every execution; no underflow.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_pickSoloQuadrant	1	++goldCount	uint8 incremented at most once per iteration of the 4-iteration loop at :1234, so goldCount <= 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_pickSoloQuadrant	2	++i	Loop counter of `for (uint8 i; i < 4; )` at :1234; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_allGold	1	++i	Loop counter of `for (uint8 i; i < 4; )` at :1260; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_resolveGoldenTicket	1	++golds	uint8 incremented at most once per iteration of the 4-iteration loop at :1322, so golds <= 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_resolveGoldenTicket	2	++i	Loop counter of `for (uint8 i; i < 4; )` at :1322; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_processDailyEth	1	++j	Loop counter of `for (uint8 j; j < 4; )` at :1422 (the count==0/share==0 continue arm); bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_processDailyEth	2	++j	Same `for (uint8 j; j < 4; )` at :1422, tail increment; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_payNormalBucket	1	++i	Loop counter of `for (uint256 i; i < len; )` at :1575 with len = winners.length; array-length bounded.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_rollHeroSymbol	1	++q	Loop counter of `for (uint8 q; q < 4; )` at :1815 (banQuadrant continue arm); bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_rollHeroSymbol	2	idx = (q << 3) | s	q < 4 and s < 8 by the loop bounds at :1815/:1823, so (q<<3)|s <= 31 and fits uint8; index into the 32-slot weights array.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_rollHeroSymbol	3	++s	Loop counter of `for (uint8 s; s < 8; )` at :1823; bounded by the literal 8.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_rollHeroSymbol	4	++q	Tail increment of `for (uint8 q; q < 4; )` at :1815; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_rollHeroSymbol	5	++idx	Loop counter of `for (uint8 idx; idx < 32; )` at :1856; bounded by the literal 32.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_randTraitTicket	1	++i	Loop counter of `for (uint256 i; i < numWinners; )` at :1954 with numWinners a uint8 parameter (<= 255).
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardDailyCoinToTraitWinners	1	++t	Loop counter of `for (uint8 t; t < 4; )` at :2063; bounded by the literal 4.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardDailyCoinToTraitWinners	2	++i	Loop counter of `for (uint256 i; i < end; )` at :2119 (comp-quadrant skip arm) with end <= DAILY_COIN_MAX_WINNERS = 50 (:331).
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardDailyCoinToTraitWinners	3	++i	Same loop at :2119 (empty-bucket continue arm); end <= DAILY_COIN_MAX_WINNERS = 50 (:331).
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardDailyCoinToTraitWinners	4	++found	found indexes arrays of length cap; non-comp end == cap, comp mode skips 12-13 i%4==compQuadrant pulls so non-comp pulls equal cap = 37+(q>>1) exactly (:2105).
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardDailyCoinToTraitWinners	5	++i	Tail increment of `for (uint256 i; i < end; )` at :2119; end <= DAILY_COIN_MAX_WINNERS = 50 (:331).
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_payCrapsComps	1	++found	found is incremented only while the loop condition `found < target` holds (:2201) with target <= CRAPS_COMP_MAX_SLOTS (:2198), the length of the winners/levels/ticketIdxs arrays.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_payCrapsComps	2	i += 4	i starts at quadrant <= 3 (masked &3 at :2076) and the loop condition `i < DAILY_COIN_MAX_WINNERS` (50, :331) at :2201 caps it, so i <= 53.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_payCrapsComps	3	++s	Loop counter of `for (uint256 s; s < found; )` at :2235 with found <= CRAPS_COMP_MAX_SLOTS.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardFarFutureCoinJackpot	1	++found	uint8 incremented at most once per iteration of `for (uint8 s; s < FAR_FUTURE_FLIP_SAMPLES; )` at :2277, so found <= 10 = the winners/winnerLevels array length.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardFarFutureCoinJackpot	2	++s	Loop counter of `for (uint8 s; s < FAR_FUTURE_FLIP_SAMPLES; )` at :2277; FAR_FUTURE_FLIP_SAMPLES = 10.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_awardFarFutureCoinJackpot	3	++i	Loop counter of `for (uint256 i; i < payCount; )` at :2313 with payCount <= found <= 10.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	runBafJackpot	1	++i	Loop counter of `for (uint256 i; i < winnersLen; )` at :2568 with winnersLen = winnersArr.length returned by jackpots.runBafJackpot; array-length bounded.
NO-OVERFLOW-OP	modules/DegenerusGameJackpotModule.sol	_jackpotTicketRoll	1	whole += 1	whole = scaledWholeTickets / QTY_SCALE at :2763 with scaledWholeTickets saturated to uint32.max at :2760 and QTY_SCALE = 100 (storage :190), so whole <= 42,949,672 and +1 stays in uint32.
BOUNDED	modules/DegenerusGameLootboxModule.sol	_mergeBoxOrder	1	priorNominal = (sHeld + LB_MED_MULTIPLE * mHeld + LB_LARGE_MULTIPLE * lHeld) * price + cHe	Tier counts <= 255 (LB_COUNT_MASK, Storage:1455), order total <= MAX_BOXES_PER_ORDER=100 (:469), price <= 0.24e18 (PriceLookupLib:44-63), customWei <= 2^48*1e12; products <= ~2.8e28.
BOUNDED	modules/DegenerusGameLootboxModule.sol	_boostAmount	1	return (capped * bonusBps) / 10_000	capped <= BOX_BOOST_MAX_VALUE = 10 ether by the ternary at :514 and bonusBps <= 10000 (tier table), so the product is <=1e23.
BOUNDED	modules/DegenerusGameLootboxModule.sol	beginBoxOrder	1	shares = (((costWei * (distress ? 0 : BOX_SPLIT_FUTURE_BPS)) / 10_000) << 128) | ((costWei	costWei <=~2.8e28 (100 boxes x 48-bit custom size x 1e12, cap at :469); costWei*10000 <2^128 and the quotient <2^128, so the low lane fits and the <<128 lane cannot collide.
BOUNDED	modules/DegenerusGameLootboxModule.sol	_orderNominal	1	return (_lbGet(word, LB_SMALL_SHIFT, LB_COUNT_MASK) + LB_MED_MULTIPLE * _lbGet(word, LB_ME	Every operand is masked: counts <=255 (LB_COUNT_MASK), customSize/cover <=2^48-1 scaled by 1e12, price <=0.24e18 (PriceLookupLib:44-63); the sum is <=~7.3e28.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	_flushBoxAcc	1	touched &= touched - 1	Reached only inside `while (touched != 0)` at :982, so touched >=1 and `touched - 1` cannot underflow; the AND clears the lowest set bit.
BOUNDED	modules/DegenerusGameLootboxModule.sol	_rollTier	1	uint256 boosted = size + (size * c.boostBps) / 10_000	bps lanes <= 10000 (_blendBps :509), evBps <= LOOTBOX_EV_MAX_BPS 14500; adjWei = size*adjBps/1e4 <= size <= boosted so the subtraction cannot underflow; i < count <= 255.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	openHumanBoxes	1	++steps	++steps executes only under the loop guard `steps < budget` at :1300, so steps stays <= budget; the walk is additionally gas-bounded.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	openHumanBoxes	2	++cur	++cur runs under `cur < qlen` (:1311) so cur <= queue length; ++steps runs under `steps < budget` in the same guard.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	openHumanBoxes	3	++cur	++cur under `cur < qlen` (:1311); cost <= 15+255*6+15 = 1560 and the checked test at :1342 evaluates steps+cost first, so steps stays within budget+1560.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	openHumanBoxes	4	opened += boxes + (stored != 0 ? 1 : 0)	boxes <= 4*255+1 from the 8-bit count lanes (_boxOrderCount); opened accumulates over a budget- and gas-bounded queue walk, far under 2^256.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	openHumanBoxes	5	++idx	++idx runs only under the loop guard `idx <= finalized` at :1300 with finalized = active-1 <= 2^48-2, so the uint48 cannot wrap.
BOUNDED	modules/DegenerusGameLootboxModule.sol	resolveRedemptionLootbox	1	stethPortion = amount - msg.value	Guarded at :1613 by `if (msg.value > amount) revert MsgValueExceedsAmount()`, so amount >= msg.value at the subtraction.
BOUNDED	modules/DegenerusGameLootboxModule.sol	creditRedemptionDirect	1	stethPortion = amount - msg.value	Guarded at :1690 by `if (msg.value > amount) revert MsgValueExceedsAmount()`, so amount >= msg.value at the subtraction.
BOUNDED	modules/DegenerusGameLootboxModule.sol	_settleLootboxRoll	1	whole += 1	Reached only when frac = scaledWholeTickets % QTY_SCALE(100) != 0 (:2037), so whole = scaledWholeTickets/100 <= (2^32-1)/100 and +1 stays far under uint32 max.
NO-OVERFLOW-OP	modules/DegenerusGameLootboxModule.sol	_rollCrapsPasses	1	count = budget / unit	unit is a non-zero constant (NORMAL_DAY_PASS_VALUE 22_800e18, or 19x it), so budget/unit cannot overflow and the single ++ adds one.
SCALE-BOUNDED	modules/DegenerusGameLootboxModule.sol	_rollCrapsPasses	2	if (high) acc.passHigh += uint32(count)	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): acc.passHigh/passNormal (uint32) += count with no cap; count ~= ETH paid into the box (budget <= amount*4.4574e5 :2207, unit 4.332e23), so wrap needs ~4e9 ETH. Economic scale only; the ticket lane saturates, this one does not.
BOUNDED	modules/DegenerusGameMintModule.sol	_processMintPayment	1	newClaimableBalance = claimable - claimableUsed	claimableUsed = min(amount, available) where available = claimable - 1 (guards at :271-:274), so claimableUsed < claimable and the subtraction stays positive.
BOUNDED	modules/DegenerusGameMintModule.sol	_processMintPayment	2	newClaimableBalance = claimable - claimableUsed	claimableUsed = min(remaining, available) with available = claimable - 1 (guards at :287-:291), so claimableUsed < claimable; subtraction stays positive.
BOUNDED	modules/DegenerusGameMintModule.sol	processFutureTicketBatch	1	used += writesThis	_processOneTicketEntry caps take by the passed room (:857-:860) so writesThis <= room+1 = writesBudget-used+1; used stays <= WRITES_BUDGET_SAFE+1 in uint32. ++idx < total; processed += take <= owed.
BOUNDED	modules/DegenerusGameMintModule.sol	_raritySymbolBatch	1	endIndex = startIndex + count	startIndex = processed, count = take, processed + take <= owed (take = min(owed,maxT) :859, remainingOwed = owed - take :884); owed is uint32 from packed>>8 so the sum fits.
